Relative_dose_[%],Dose_[cGy],Ratio_of_Total_Structure_Volume_[%]
68.6,3430.0,3.54204
68.7,3435.0,3.49525
68.8,3440.0,3.45163
68.9,3445.0,3.40589
69.0,3450.0,3.35685
69.1,3455.0,3.30857
69.2,3460.0,3.25887
69.3,3465.0,3.20815
69.4,3470.0,3.15588
69.5,3475.0,3.10513
69.6,3480.0,3.05236
69.7,3485.0,2.99421
69.8,3490.0,2.93844
69.9,3495.0,2.88078
70.0,3500.0,2.82287
70.1,3505.0,2.76162
70.2,3510.0,2.6992
70.3,3515.0,2.63651
70.4,3520.0,2.5742
70.5,3525.0,2.51213
70.6,3530.0,2.45101
70.7,3535.0,2.38532
70.8,3540.0,2.32322
70.9,3545.0,2.25971
71.0,3550.0,2.2016
71.1,3555.0,2.14708
71.2,3560.0,2.09387
71.3,3565.0,2.04001
71.4,3570.0,1.98362
71.5,3575.0,1.92888
71.6,3580.0,1.87062
71.7,3585.0,1.81546
71.8,3590.0,1.75495
71.9,3595.0,1.697
72.0,3600.0,1.64038
72.1,3605.0,1.5876
72.2,3610.0,1.5351
72.3,3615.0,1.48306
72.4,3620.0,1.43616
72.5,3625.0,1.39181
72.6,3630.0,1.35084
72.7,3635.0,1.31189
72.8,3640.0,1.27567
72.9,3645.0,1.2441
73.0,3650.0,1.21285
73.1,3655.0,1.17947
73.2,3660.0,1.15017
73.3,3665.0,1.12278
73.4,3670.0,1.093
73.5,3675.0,1.066
73.6,3680.0,1.03969
73.7,3685.0,1.01348
73.8,3690.0,0.985018
73.9,3695.0,0.960062
74.0,3700.0,0.935574
74.1,3705.0,0.908704
74.2,3710.0,0.883987
74.3,3715.0,0.859942
74.4,3720.0,0.834496
74.5,3725.0,0.811623
74.6,3730.0,0.789853
74.7,3735.0,0.767695
74.8,3740.0,0.747157
74.9,3745.0,0.729094
75.0,3750.0,0.711724
75.1,3755.0,0.693404
75.2,3760.0,0.675983
75.3,3765.0,0.659146
75.4,3770.0,0.642562
75.5,3775.0,0.625577
75.6,3780.0,0.609504
75.7,3785.0,0.593998
75.8,3790.0,0.579026
75.9,3795.0,0.564568
76.0,3800.0,0.550568
76.1,3805.0,0.536891
76.2,3810.0,0.523903
76.3,3815.0,0.51184
76.4,3820.0,0.499628
76.5,3825.0,0.488166
76.6,3830.0,0.477921
76.7,3835.0,0.467733
76.8,3840.0,0.457795
76.9,3845.0,0.447348
77.0,3850.0,0.43773
77.1,3855.0,0.42899
77.2,3860.0,0.420816
77.3,3865.0,0.413169
77.4,3870.0,0.405776
77.5,3875.0,0.398525
77.6,3880.0,0.391322
77.7,3885.0,0.384315
77.8,3890.0,0.377567
77.9,3895.0,0.371084
78.0,3900.0,0.364679
78.1,3905.0,0.358308
78.2,3910.0,0.351987
78.3,3915.0,0.345674
78.4,3920.0,0.3393
78.5,3925.0,0.332901
78.6,3930.0,0.326552
78.7,3935.0,0.320138
78.8,3940.0,0.313957
78.9,3945.0,0.307739
79.0,3950.0,0.301432
79.1,3955.0,0.295076
79.2,3960.0,0.288748
79.3,3965.0,0.282485
79.4,3970.0,0.276304
79.5,3975.0,0.270331
79.6,3980.0,0.264562
79.7,3985.0,0.258758
79.8,3990.0,0.252983
79.9,3995.0,0.247233
80.0,4000.0,0.241589
80.1,4005.0,0.235827
80.2,4010.0,0.230043
80.3,4015.0,0.224454
80.4,4020.0,0.219314
80.5,4025.0,0.214244
80.6,4030.0,0.208681
80.7,4035.0,0.202824
80.8,4040.0,0.196998
80.9,4045.0,0.19163
81.0,4050.0,0.186375
81.1,4055.0,0.180928
81.2,4060.0,0.175475
81.3,4065.0,0.170886
81.4,4070.0,0.166331
81.5,4075.0,0.161719
81.6,4080.0,0.157368
81.7,4085.0,0.153115
81.8,4090.0,0.148989
81.9,4095.0,0.144934
82.0,4100.0,0.140959
82.1,4105.0,0.136795
82.2,4110.0,0.132554
82.3,4115.0,0.128356
82.4,4120.0,0.124352
82.5,4125.0,0.120407
82.6,4130.0,0.11642
82.7,4135.0,0.112458
82.8,4140.0,0.108945
82.9,4145.0,0.105569
83.0,4150.0,0.102282
83.1,4155.0,0.0990991
83.2,4160.0,0.0959925
83.3,4165.0,0.0929517
83.4,4170.0,0.0899096
83.5,4175.0,0.0864998
83.6,4180.0,0.0831071
83.7,4185.0,0.0797402
83.8,4190.0,0.076743
83.9,4195.0,0.0738188
84.0,4200.0,0.0708822
84.1,4205.0,0.0679652
84.2,4210.0,0.0650745
84.3,4215.0,0.0622643
84.4,4220.0,0.0595305
84.5,4225.0,0.0568479
84.6,4230.0,0.0542142
84.7,4235.0,0.0516186
84.8,4240.0,0.0488662
84.9,4245.0,0.0460468
85.0,4250.0,0.0432713
85.1,4255.0,0.0407778
85.2,4260.0,0.0385661
85.3,4265.0,0.0363975
85.4,4270.0,0.034355
85.5,4275.0,0.0317692
85.6,4280.0,0.0291773
85.7,4285.0,0.0273612
85.8,4290.0,0.0256126
85.9,4295.0,0.0239318
86.0,4300.0,0.022342
86.1,4305.0,0.0208764
86.2,4310.0,0.0195034
86.3,4315.0,0.0181939
86.4,4320.0,0.0169675
86.5,4325.0,0.015805
86.6,4330.0,0.0139741
86.7,4335.0,0.0128725
86.8,4340.0,0.0118365
86.9,4345.0,0.0109667
87.0,4350.0,0.0101433
87.1,4355.0,0.00935467
87.2,4360.0,0.00863612
87.3,4365.0,0.00796951
87.4,4370.0,0.00729508
87.5,4375.0,0.00665592
87.6,4380.0,0.00602858
87.7,4385.0,0.00540292
87.8,4390.0,0.0048398
87.9,4395.0,0.00429344
88.0,4400.0,0.00375474
88.1,4405.0,0.00327557
88.2,4410.0,0.00284573
88.3,4415.0,0.00243648
88.4,4420.0,0.00202298
88.5,4425.0,0.00164151
88.6,4430.0,0.00133184
88.7,4435.0,0.00104855
88.8,4440.0,0.000808365
88.9,4445.0,0.000596962
89.0,4450.0,0.00042928
89.1,4455.0,0.000284697
89.2,4460.0,0.000194131
89.3,4465.0,0.000119201
89.4,4470.0,8.30915e-05
89.5,4475.0,4.97899e-05
89.6,4480.0,2.02224e-05
89.7,4485.0,0.0
89.8,4490.0,0.0
89.9,4495.0,0.0
90.0,4500.0,0.0
90.1,4505.0,0.0
90.2,4510.0,0.0
90.3,4515.0,0.0
90.4,4520.0,0.0
90.5,4525.0,0.0
90.6,4530.0,0.0
90.7,4535.0,0.0
90.8,4540.0,0.0
90.9,4545.0,0.0
91.0,4550.0,0.0
91.1,4555.0,0.0
91.2,4560.0,0.0
91.3,4565.0,0.0
91.4,4570.0,0.0
91.5,4575.0,0.0
91.6,4580.0,0.0
91.7,4585.0,0.0
91.8,4590.0,0.0
91.9,4595.0,0.0
92.0,4600.0,0.0
92.1,4605.0,0.0
92.2,4610.0,0.0
92.3,4615.0,0.0
92.4,4620.0,0.0
92.5,4625.0,0.0
92.6,4630.0,0.0
92.7,4635.0,0.0
92.8,4640.0,0.0
92.9,4645.0,0.0
93.0,4650.0,0.0
93.1,4655.0,0.0
93.2,4660.0,0.0
93.3,4665.0,0.0
93.4,4670.0,0.0
93.5,4675.0,0.0
93.6,4680.0,0.0
93.7,4685.0,0.0
93.8,4690.0,0.0
93.9,4695.0,0.0
94.0,4700.0,0.0
94.1,4705.0,0.0
94.2,4710.0,0.0
94.3,4715.0,0.0
94.4,4720.0,0.0
94.5,4725.0,0.0
94.6,4730.0,0.0
94.7,4735.0,0.0
94.8,4740.0,0.0
94.9,4745.0,0.0
95.0,4750.0,0.0
95.1,4755.0,0.0
95.2,4760.0,0.0
95.3,4765.0,0.0
95.4,4770.0,0.0
95.5,4775.0,0.0
95.6,4780.0,0.0
95.7,4785.0,0.0
95.8,4790.0,0.0
95.9,4795.0,0.0
96.0,4800.0,0.0
96.1,4805.0,0.0
96.2,4810.0,0.0
96.3,4815.0,0.0
96.4,4820.0,0.0
96.5,4825.0,0.0
96.6,4830.0,0.0
96.7,4835.0,0.0
96.8,4840.0,0.0
96.9,4845.0,0.0
97.0,4850.0,0.0
97.1,4855.0,0.0
